signal_date,ticker,score,ref_price,rank,tp,sl
2026-07-11,1303,4.0,181.5,1,237.2,139.7
2026-07-11,6446,3.93,1285.0,2,1548.5,1087.4
2026-07-11,3481,3.87,65.3,3,83.9,51.3
2026-07-11,2408,3.68,435.5,4,567.6,336.4
2026-07-11,2379,3.67,840.0,5,1069.0,668.2
2026-07-11,2887,3.65,36.8,6,41.2,33.5
2026-07-11,1326,3.57,60.0,7,76.1,47.9
2026-07-13,1303,4.0,199.5,1,256.9,156.5
2026-07-13,6446,3.93,1250.0,2,1521.9,1046.0
2026-07-13,1326,3.83,65.0,3,81.7,52.5
2026-07-13,3481,3.77,61.0,4,80.2,46.6
2026-07-13,1301,3.7,60.2,5,73.9,49.9
2026-07-13,2887,3.65,35.8,6,40.2,32.4
2026-07-13,2303,3.52,153.5,7,194.8,122.5
2026-07-14,1303,4.0,210.0,1,269.6,165.3
2026-07-14,2634,3.92,67.1,2,79.3,58.0
2026-07-14,6446,3.88,1200.0,3,1485.9,985.6
2026-07-14,1301,3.75,63.6,4,77.8,53.0
2026-07-14,1326,3.73,67.0,5,83.8,54.4
2026-07-14,2408,3.65,448.0,6,584.2,345.9
2026-07-14,2379,3.53,754.0,7,990.0,577.0
2026-07-15,1303,4.0,227.5,1,289.3,181.2
2026-07-15,2634,3.92,68.3,2,81.4,58.5
2026-07-15,6446,3.88,1320.0,3,1621.8,1093.6
2026-07-15,1301,3.75,65.7,4,80.1,54.9
2026-07-15,1326,3.73,70.8,5,88.0,57.9
2026-07-15,2303,3.67,166.0,6,209.8,133.1
2026-07-15,2408,3.6,481.0,7,618.1,378.2
2026-07-16,1303,4.0,221.0,1,283.0,174.5
2026-07-16,6446,3.93,1260.0,2,1578.3,1021.3
2026-07-16,2634,3.85,64.5,3,78.3,54.2
2026-07-16,1301,3.78,65.6,4,80.4,54.5
2026-07-16,1326,3.77,68.9,5,86.2,55.9
2026-07-16,2303,3.65,160.0,6,204.5,126.6
2026-07-16,3711,3.53,682.0,7,854.3,552.8
2026-07-17,6505,3.98,81.3,1,94.6,71.3
