event_id,signal_date,source_sector,destination_sector,ticker,reference_peak,drawdown_date,lead_trading_days,hit_20pct,last_session_before_drawdown,source_sector_label,destination_sector_label
29,2018-04-27,computing,finance,4958,49.25788879394531,,,False,,資訊/通訊,金融
29,2018-04-27,computing,finance,6173,44.1749153137207,,,False,,資訊/通訊,金融
29,2018-04-27,computing,finance,4976,50.077247619628906,2018-05-03,3.0,True,2018-05-02,資訊/通訊,金融
29,2018-04-27,computing,finance,4991,77.23895263671875,2018-07-23,59.0,True,2018-07-20,資訊/通訊,金融
29,2018-04-27,computing,finance,4904,54.756229400634766,,,False,,資訊/通訊,金融
29,2018-04-27,computing,finance,6141,38.16832733154297,2018-04-30,1.0,True,2018-04-27,資訊/通訊,金融
29,2018-04-27,computing,finance,6120,24.48695182800293,2018-09-10,94.0,True,2018-09-07,資訊/通訊,金融
29,2018-04-27,computing,finance,6446,157.7974395751953,,,False,,資訊/通訊,金融
30,2018-06-04,shipping,semiconductor,2601,12.22131633758545,2018-08-13,49.0,True,2018-08-10,航運,半導體
30,2018-06-04,shipping,semiconductor,2614,23.129392623901367,2018-07-23,34.0,True,2018-07-20,航運,半導體
30,2018-06-04,shipping,semiconductor,2610,8.777097702026367,,,False,,航運,半導體
30,2018-06-04,shipping,semiconductor,2603,12.265536308288574,2018-10-11,90.0,True,2018-10-09,航運,半導體
30,2018-06-04,shipping,semiconductor,2618,11.213379859924316,,,False,,航運,半導體
30,2018-06-04,shipping,semiconductor,2633,18.7330265045166,,,False,,航運,半導體
30,2018-06-04,shipping,semiconductor,2606,22.807710647583008,,,False,,航運,半導體
30,2018-06-04,shipping,semiconductor,2634,27.413867950439453,,,False,,航運,半導體
30,2018-06-04,shipping,semiconductor,2609,5.123774528503418,2018-10-11,90.0,True,2018-10-09,航運,半導體
30,2018-06-04,shipping,semiconductor,2615,9.21481990814209,,,False,,航運,半導體
30,2018-06-04,shipping,semiconductor,2605,13.112594604492188,,,False,,航運,半導體
30,2018-06-04,shipping,semiconductor,2641,7.359991073608398,2018-09-06,67.0,True,2018-09-05,航運,半導體
30,2018-06-04,shipping,semiconductor,2636,13.042634010314941,,,False,,航運,半導體
30,2018-06-04,shipping,semiconductor,2640,47.904666900634766,2018-10-11,90.0,True,2018-10-09,航運,半導體
30,2018-06-04,shipping,semiconductor,2637,17.83955955505371,,,False,,航運,半導體
30,2018-06-04,shipping,semiconductor,2617,11.41950798034668,,,False,,航運,半導體
30,2018-06-04,shipping,semiconductor,2616,22.2365665435791,,,False,,航運,半導體
30,2018-06-04,shipping,semiconductor,2611,5.112614154815674,,,False,,航運,半導體
30,2018-06-04,shipping,semiconductor,2612,20.813167572021484,,,False,,航運,半導體
30,2018-06-04,shipping,semiconductor,2607,17.709745407104492,,,False,,航運,半導體
30,2018-06-04,shipping,semiconductor,2630,20.82067108154297,2018-10-11,90.0,True,2018-10-09,航運,半導體
30,2018-06-04,shipping,semiconductor,2608,26.939416885375977,,,False,,航運,半導體
30,2018-06-04,shipping,semiconductor,2642,20.871366500854492,,,False,,航運,半導體
30,2018-06-04,shipping,semiconductor,2613,9.92747974395752,,,False,,航運,半導體
30,2018-06-04,shipping,semiconductor,2643,18.534666061401367,,,False,,航運,半導體
31,2018-06-22,biotech,finance,1795,82.7415542602539,2018-07-04,8.0,True,2018-07-03,生技醫療,金融
31,2018-06-22,biotech,finance,4739,107.95205688476562,2018-07-23,21.0,True,2018-07-20,生技醫療,金融
31,2018-06-22,biotech,finance,1786,56.03306579589844,2018-07-05,9.0,True,2018-07-04,生技醫療,金融
31,2018-06-22,biotech,finance,4721,88.27473449707031,2018-07-23,21.0,True,2018-07-20,生技醫療,金融
31,2018-06-22,biotech,finance,4736,96.68717956542969,2018-10-11,77.0,True,2018-10-09,生技醫療,金融
31,2018-06-22,biotech,finance,1760,91.89822387695312,2018-07-04,8.0,True,2018-07-03,生技醫療,金融
